       Step     Time          Energy          fmax
LBFGS:   85 23:24:54      -13.293785      153.490935
LBFGS:   86 23:24:54      -13.326020      174.186403
LBFGS:   87 23:24:54      -13.361094      196.651911
LBFGS:   88 23:24:54      -13.326677      173.746371
LBFGS:   89 23:24:54      -13.295392      152.019203
LBFGS:   90 23:24:54      -13.326842      173.005787
LBFGS:   91 23:24:54      -13.361072      195.664494
LBFGS:   92 23:24:55      -13.327448      172.591827
LBFGS:   93 23:24:55      -13.296866      150.659976
LBFGS:   94 23:24:55      -13.327613      171.891129
LBFGS:   95 23:24:55      -13.361085      194.712508
LBFGS:   96 23:24:55      -13.328176      171.498307
LBFGS:   97 23:24:55      -13.298227      149.396846
LBFGS:   98 23:24:55      -13.328341      170.830449
LBFGS:   99 23:24:55      -13.361135      193.789251
LBFGS:  100 23:24:55      -13.328862      170.455806
       Step     Time          Energy          fmax
LBFGS:    0 23:24:55       -8.088167      302.970638
LBFGS:    1 23:24:55       -8.799656      155.102298
LBFGS:    2 23:24:55       -8.941415       89.905448
LBFGS:    3 23:24:55       -9.045149       39.760187
LBFGS:    4 23:24:55       -9.012539      145.823093
LBFGS:    5 23:24:55       -9.055921       23.168718
LBFGS:    6 23:24:55       -9.052124       18.240265
LBFGS:    7 23:24:55       -9.064690       10.034546
LBFGS:    8 23:24:55       -9.071508        6.946284
LBFGS:    9 23:24:55       -9.074481        4.463987
LBFGS:   10 23:24:55       -9.080282        4.978395
LBFGS:   11 23:24:55       -9.098896       63.438173
LBFGS:   12 23:24:55       -9.091643        5.593670
LBFGS:   13 23:24:55       -9.102455        4.192310
LBFGS:   14 23:24:55       -9.126742        8.456923
LBFGS:   15 23:24:55       -9.116673        2.032441
LBFGS:   16 23:24:55       -9.122501        1.389306
LBFGS:   17 23:24:56       -9.141689        2.152318
LBFGS:   18 23:24:56       -9.147552        1.266664
LBFGS:   19 23:24:56       -9.154769       19.975558
LBFGS:   20 23:24:56       -9.151905       20.217163
LBFGS:   21 23:24:56       -8.907400       44.658474
LBFGS:   22 23:24:56       -9.128777       27.009465
LBFGS:   23 23:24:56       -9.153379       40.420466
LBFGS:   24 23:24:56       -9.128951       18.812887
LBFGS:   25 23:24:56       -9.147341       51.727403
LBFGS:   26 23:24:56       -9.133555       44.609176
LBFGS:   27 23:24:56       -9.161654       49.016785
LBFGS:   28 23:24:56       -9.157543       94.348018
LBFGS:   29 23:24:56       -9.151680       31.449307
LBFGS:   30 23:24:56       -9.155091        9.597063
LBFGS:   31 23:24:56       -9.155070        9.518089
LBFGS:   32 23:24:56       -9.155087        8.917866
LBFGS:   33 23:24:56       -9.155099        8.406591
LBFGS:   34 23:24:56       -9.155086        8.898967
LBFGS:   35 23:24:56       -9.155083        8.973445
LBFGS:   36 23:24:56       -9.155087        8.883123
LBFGS:   37 23:24:56       -9.155087        8.885182
LBFGS:   38 23:24:56       -9.155089        9.154358
LBFGS:   39 23:24:56       -9.155075       10.313906
LBFGS:   40 23:24:56       -9.154754       27.022736
LBFGS:   41 23:24:56       -9.157309       55.985038
LBFGS:   42 23:24:57       -9.062538       56.584077
LBFGS:   43 23:24:57       -9.168011       71.398108
LBFGS:   44 23:24:57       -9.155121       15.825241
LBFGS:   45 23:24:57       -9.157452       43.763477
LBFGS:   46 23:24:57       -9.155071       18.581830
LBFGS:   47 23:24:57       -9.154867       29.087261
LBFGS:   48 23:24:57       -9.155396       22.990896
LBFGS:   49 23:24:57       -9.158212       36.512121
LBFGS:   50 23:24:57       -9.154280       13.593172
LBFGS:   51 23:24:57       -9.106309       23.878811
LBFGS:   52 23:24:57       -9.153793        3.506365
LBFGS:   53 23:24:57       -9.154816        3.283554
LBFGS:   54 23:24:57       -9.154452        2.250974
LBFGS:   55 23:24:57       -9.154781        3.075368
LBFGS:   56 23:24:57       -9.154751        2.928144
LBFGS:   57 23:24:57       -9.154894        4.073412
LBFGS:   58 23:24:57       -9.154924        5.885367
LBFGS:   59 23:24:57       -9.152631       28.252947
LBFGS:   60 23:24:57       -9.154303        4.338323
LBFGS:   61 23:24:57       -9.155165        5.705141
LBFGS:   62 23:24:57       -9.155182        6.191784
LBFGS:   63 23:24:57       -9.155128        3.926616
LBFGS:   64 23:24:57       -9.159929       57.340317
