       Step     Time          Energy          fmax
LBFGS:   39 12:30:39       -9.242416      158.251851
LBFGS:   40 12:30:39       -7.956478      188.250271
LBFGS:   41 12:30:39       -9.240761      157.689536
LBFGS:   42 12:30:39      -11.354055      263.225151
LBFGS:   43 12:30:39       -9.242804      158.392893
LBFGS:   44 12:30:39       -7.969604      190.504312
LBFGS:   45 12:30:39       -9.241573      157.980825
LBFGS:   46 12:30:39      -11.346127      265.967993
LBFGS:   47 12:30:39       -9.243046      158.493189
LBFGS:   48 12:30:39       -7.979321      192.237775
LBFGS:   49 12:30:39       -9.242146      158.200204
LBFGS:   50 12:30:39      -11.340307      267.913345
LBFGS:   51 12:30:39       -9.243702      158.724752
LBFGS:   52 12:30:39       -7.991909      194.348366
LBFGS:   53 12:30:39       -9.241362      158.030297
LBFGS:   54 12:30:39      -11.315596      276.364361
LBFGS:   55 12:30:40       -9.243879      158.838248
LBFGS:   56 12:30:40       -8.005732      196.648083
LBFGS:   57 12:30:40       -9.242218      158.380116
LBFGS:   58 12:30:40      -11.297729      281.752550
LBFGS:   59 12:30:40       -9.243849      158.938096
LBFGS:   60 12:30:40       -8.015280      198.350584
LBFGS:   61 12:30:40       -9.242729      158.691027
LBFGS:   62 12:30:40      -11.285954      285.249674
LBFGS:   63 12:30:40       -9.243624      159.064551
LBFGS:   64 12:30:40       -8.335861      204.747437
LBFGS:   65 12:30:40       -9.586096      204.463060
LBFGS:   66 12:30:40       -8.336929      204.535863
LBFGS:   67 12:30:40       -7.098570       83.067768
LBFGS:   68 12:30:40       -6.956097       53.958139
LBFGS:   69 12:30:40       -6.923016       29.371631
LBFGS:   70 12:30:40       -6.935673       43.598277
LBFGS:   71 12:30:40       -6.928026       35.299844
LBFGS:   72 12:30:40       -6.946419       50.562880
LBFGS:   73 12:30:40       -6.959715       54.684799
LBFGS:   74 12:30:40       -7.035782       60.876459
LBFGS:   75 12:30:40       -7.161123       95.011106
LBFGS:   76 12:30:40       -8.232380      217.376592
LBFGS:   77 12:30:40       -9.181053      139.670675
LBFGS:   78 12:30:40       -8.818441       84.908182
LBFGS:   79 12:30:40       -8.735249       95.491041
LBFGS:   80 12:30:40       -7.488321      148.649820
